,Date,Open,Volume
0,2019-01-03,143.979996,91312200
1,2019-01-04,144.529999,58607100
2,2019-01-07,148.699997,54777800
3,2019-01-08,149.559998,41025300
4,2019-01-09,151.28999299999998,45099100
5,2019-01-10,152.5,35780700
6,2019-01-11,152.880005,27023200
7,2019-01-14,150.850006,32439200
8,2019-01-15,150.270004,28710900
9,2019-01-16,153.080002,30569700
10,2019-01-17,154.199997,29821200
11,2019-01-18,157.5,33751000
12,2019-01-22,156.41000400000001,30394000
13,2019-01-23,154.149994,23130600
14,2019-01-24,154.110001,25441500
15,2019-01-25,155.479996,33535500
16,2019-01-28,155.78999299999998,26192100
17,2019-01-29,156.25,41587200
18,2019-01-30,163.25,61109800
19,2019-01-31,166.110001,40739600
20,2019-02-01,166.96000700000002,32668100
21,2019-02-04,167.41000400000001,31495500
22,2019-02-05,172.860001,36101600
23,2019-02-06,174.649994,28239600
24,2019-02-07,172.399994,31741700
25,2019-02-08,168.990005,23820000
26,2019-02-11,171.050003,20993400
27,2019-02-12,170.100006,22283500
28,2019-02-13,171.389999,22490200
29,2019-02-14,169.71000700000002,21835700
30,2019-02-15,171.25,24626800
31,2019-02-19,169.71000700000002,18972800
32,2019-02-20,171.190002,26114400
33,2019-02-21,171.800003,17249700
34,2019-02-22,171.580002,18913200
35,2019-02-25,174.16000400000001,21873400
36,2019-02-26,173.71000700000002,17070200
37,2019-02-27,173.21000700000002,27835400
38,2019-02-28,174.320007,28215400
39,2019-03-01,174.279999,25886200
40,2019-03-04,175.690002,27436200
41,2019-03-05,175.940002,19737400
42,2019-03-06,174.669998,20810400
43,2019-03-07,173.869995,24796400
44,2019-03-08,170.320007,23999400
45,2019-03-11,175.490005,32011000
46,2019-03-12,180.0,32467600
47,2019-03-13,182.25,31032500
48,2019-03-14,183.899994,23579500
49,2019-03-15,184.850006,39042900
50,2019-03-18,185.800003,26219800
51,2019-03-19,188.350006,31646400
52,2019-03-20,186.229996,31035200
53,2019-03-21,190.020004,51034200
54,2019-03-22,195.33999599999999,42407700
55,2019-03-25,191.509995,43845300
56,2019-03-26,191.66000400000001,49800500
57,2019-03-27,188.75,29848400
58,2019-03-28,188.949997,20780400
59,2019-03-29,189.830002,23564000
60,2019-04-01,191.639999,27862000
61,2019-04-02,191.08999599999999,22765700
62,2019-04-03,193.25,23271800
63,2019-04-04,194.78999299999998,19114300
64,2019-04-05,196.449997,18526600
65,2019-04-08,196.419998,25881700
66,2019-04-09,200.320007,35768200
67,2019-04-10,198.679993,21695300
68,2019-04-11,200.850006,20900800
69,2019-04-12,199.199997,27760700
70,2019-04-15,198.580002,17536600
71,2019-04-16,199.46000700000002,25696400
72,2019-04-17,199.53999299999998,28906800
73,2019-04-18,203.119995,24195800
74,2019-04-22,202.830002,19439500
75,2019-04-23,204.429993,23323000
76,2019-04-24,207.360001,17540600
77,2019-04-25,206.830002,18543200
78,2019-04-26,204.899994,18649100
79,2019-04-29,204.399994,22204700
80,2019-04-30,203.059998,46534900
81,2019-05-01,209.88000499999998,64827300
82,2019-05-02,209.83999599999999,31996300
83,2019-05-03,210.88999900000002,20892400
84,2019-05-06,204.28999299999998,32443100
85,2019-05-07,205.880005,38763700
86,2019-05-08,201.899994,26339500
87,2019-05-09,200.399994,34908600
88,2019-05-10,197.419998,41208700
89,2019-05-13,187.71000700000002,57430600
90,2019-05-14,186.41000400000001,36529700
91,2019-05-15,186.270004,26544700
92,2019-05-16,189.91000400000001,33031400
93,2019-05-17,186.929993,32879100
94,2019-05-20,183.520004,38612300
95,2019-05-21,185.220001,28364800
96,2019-05-22,184.66000400000001,29748600
97,2019-05-23,179.800003,36529700
98,2019-05-24,180.199997,23714700
99,2019-05-28,178.919998,27948200
100,2019-05-29,176.419998,28481200
101,2019-05-30,177.949997,21218400
102,2019-05-31,176.229996,27043600
103,2019-06-03,175.600006,40396100
104,2019-06-04,175.440002,30968000
105,2019-06-05,184.279999,29773400
106,2019-06-06,183.080002,22526300
107,2019-06-07,186.509995,30684400
108,2019-06-10,191.809998,26220900
109,2019-06-11,194.860001,26932900
110,2019-06-12,193.949997,18221800
111,2019-06-13,194.699997,21674600
112,2019-06-14,191.550003,18761500
113,2019-06-17,192.899994,14669100
114,2019-06-18,196.050003,26551000
115,2019-06-19,199.679993,21124200
116,2019-06-20,200.369995,21514000
117,2019-06-21,198.800003,47800600
118,2019-06-24,198.53999299999998,18220400
119,2019-06-25,198.429993,21070300
120,2019-06-26,197.770004,26067500
121,2019-06-27,200.28999299999998,20899700
122,2019-06-28,198.679993,31110600
123,2019-07-01,203.169998,27253000
124,2019-07-02,201.41000400000001,16935200
125,2019-07-03,203.279999,11362000
126,2019-07-05,203.350006,17265500
127,2019-07-08,200.809998,25338600
128,2019-07-09,199.199997,20578000
129,2019-07-10,201.850006,17897100
130,2019-07-11,203.309998,20191800
131,2019-07-12,202.449997,17595200
132,2019-07-15,204.08999599999999,16947400
133,2019-07-16,204.58999599999999,16866800
134,2019-07-17,204.050003,14107500
135,2019-07-18,204.0,18582200
136,2019-07-19,205.78999299999998,20929300
137,2019-07-22,203.649994,22277900
138,2019-07-23,208.46000700000002,18355200
139,2019-07-24,207.669998,14991600
140,2019-07-25,208.889999,13909600
141,2019-07-26,207.479996,17618900
142,2019-07-29,208.46000700000002,21673400
143,2019-07-30,208.759995,33935700
144,2019-07-31,216.419998,69281400
145,2019-08-01,213.899994,54017900
146,2019-08-02,205.529999,40862100
147,2019-08-05,197.990005,52393000
148,2019-08-06,196.309998,35824800
149,2019-08-07,195.41000400000001,33364400
150,2019-08-08,200.199997,27009500
151,2019-08-09,201.300003,24619700
152,2019-08-12,199.619995,22474900
153,2019-08-13,201.020004,47218500
154,2019-08-14,203.16000400000001,36547400
155,2019-08-15,203.46000700000002,27227400
156,2019-08-16,204.279999,27620400
157,2019-08-19,210.61999500000002,24413600
158,2019-08-20,210.88000499999998,26884300
159,2019-08-21,212.99000499999997,21535400
160,2019-08-22,213.190002,22253700
161,2019-08-23,209.429993,46818000
162,2019-08-26,205.860001,26043600
163,2019-08-27,207.860001,25873300
164,2019-08-28,204.100006,15938800
165,2019-08-29,208.5,20990500
166,2019-08-30,210.16000400000001,21143400
167,2019-09-03,206.429993,20023000
168,2019-09-04,208.389999,19188100
